angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(270, 178, 219, 219)",0.0,0.01,0.43,0.52,0.02,0.01
0.01,"(258, 176, 229, 229)",0.0,0.02,0.34,0.58,0.05,0.01
0.01,"(265, 182, 223, 223)",0.0,0.02,0.1,0.84,0.02,0.01
0.01,"(252, 181, 226, 226)",0.0,0.01,0.04,0.91,0.03,0.0
0.01,"(263, 184, 223, 223)",0.0,0.01,0.18,0.77,0.03,0.0
0.01,"(266, 178, 228, 228)",0.0,0.08,0.32,0.48,0.1,0.01
0.01,"(269, 177, 216, 216)",0.0,0.02,0.12,0.77,0.09,0.0
0.01,"(271, 177, 226, 226)",0.0,0.1,0.42,0.4,0.06,0.01
0.01,"(275, 183, 226, 226)",0.0,0.03,0.38,0.49,0.09,0.01
0.02,"(247, 179, 221, 221)",0.0,0.01,0.13,0.77,0.08,0.0
0.02,"(276, 174, 208, 208)",0.0,0.02,0.45,0.48,0.04,0.01
0.0,"(332, 185, 226, 226)",0.0,0.01,0.86,0.11,0.01,0.0
0.01,"(310, 187, 217, 217)",0.0,0.01,0.43,0.53,0.01,0.0
